Vector Size (2^24),Iteration,C Timing (s),Assembly Timing (s)
16777216,1,0.074000,0.024000
,2,0.074000,0.024000
,3,0.075000,0.024000
,4,0.074000,0.024000
,5,0.074000,0.024000
,6,0.074000,0.024000
,7,0.075000,0.024000
,8,0.074000,0.024000
,9,0.075000,0.023000
,10,0.074000,0.024000
,11,0.075000,0.024000
,12,0.073000,0.023000
,13,0.074000,0.024000
,14,0.075000,0.024000
,15,0.074000,0.024000
,16,0.074000,0.024000
,17,0.079000,0.024000
,18,0.076000,0.024000
,19,0.076000,0.024000
,20,0.074000,0.023000
,21,0.076000,0.024000
,22,0.074000,0.024000
,23,0.074000,0.024000
,24,0.074000,0.024000
,25,0.074000,0.024000
,26,0.074000,0.024000
,27,0.074000,0.024000
,28,0.074000,0.024000
,29,0.075000,0.024000
,30,0.075000,0.024000
,31,0.074000,0.023000
,32,0.074000,0.024000
,33,0.074000,0.024000
,34,0.075000,0.024000
,35,0.074000,0.023000
,36,0.074000,0.024000
,37,0.074000,0.024000
,38,0.074000,0.024000
,39,0.074000,0.024000
,40,0.074000,0.024000
,41,0.074000,0.023000
,42,0.074000,0.024000
,43,0.074000,0.024000
,44,0.074000,0.024000
,45,0.074000,0.023000
,46,0.074000,0.024000
,47,0.074000,0.024000
,48,0.074000,0.023000
,49,0.075000,0.024000
,50,0.074000,0.024000

, , Average Time (s): 0.074380, Average Time (s): 0.023840
