Vector Size (2^24),Iteration,C Timing (s),Assembly Timing (s)
16777216,1,0.024000,0.024000
,2,0.023000,0.025000
,3,0.024000,0.025000
,4,0.023000,0.024000
,5,0.023000,0.024000
,6,0.023000,0.023000
,7,0.023000,0.024000
,8,0.023000,0.025000
,9,0.024000,0.024000
,10,0.023000,0.024000
,11,0.023000,0.024000
,12,0.023000,0.024000
,13,0.023000,0.024000
,14,0.022000,0.024000
,15,0.023000,0.025000
,16,0.023000,0.038000
,17,0.023000,0.036000
,18,0.022000,0.025000
,19,0.023000,0.024000
,20,0.023000,0.025000
,21,0.023000,0.024000
,22,0.022000,0.024000
,23,0.023000,0.024000
,24,0.023000,0.024000
,25,0.023000,0.024000
,26,0.022000,0.024000
,27,0.023000,0.024000
,28,0.023000,0.024000
,29,0.023000,0.024000
,30,0.022000,0.024000
,31,0.023000,0.024000
,32,0.023000,0.024000
,33,0.023000,0.024000
,34,0.023000,0.025000
,35,0.022000,0.023000
,36,0.023000,0.024000
,37,0.023000,0.024000
,38,0.022000,0.024000
,39,0.023000,0.024000
,40,0.023000,0.023000
,41,0.023000,0.024000
,42,0.023000,0.024000
,43,0.023000,0.025000
,44,0.023000,0.024000
,45,0.022000,0.024000
,46,0.023000,0.024000
,47,0.023000,0.024000
,48,0.023000,0.024000
,49,0.022000,0.024000
,50,0.023000,0.023000

, , Average Time (s): 0.022880, Average Time (s): 0.024600
